Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size,Area
Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series",Clustering,Real,13910,129.0,2013.0,Extra Large,Computer
Activities of Daily Living (ADLs) Recognition Using Binary Sensors,"Multivariate, Sequential, Time-Series",Clustering,,2747,,2013.0,Large,Computer
SkillCraft1 Master Table Dataset,Multivariate,Regression,"Integer, Real",3395,20.0,2013.0,Large,Game
Weight Lifting Exercises monitored with Inertial Measurement Units,Multivariate,Classification,Real,39242,152.0,2013.0,Extra Large,Physical
SML2010,"Multivariate, Sequential, Time-Series, Text",Regression,Real,4137,24.0,2014.0,Large,Computer
Bike Sharing Dataset,Univariate,Regression,"Integer, Real",17389,16.0,2013.0,Extra Large,Social
Predict keywords activities in a online social media,"Multivariate, Sequential, Time-Series",Other/Unknown,"Integer, Real",51,35.0,2013.0,Small,Computer
Thoracic Surgery Data,Multivariate,Classification,"Integer, Real",470,17.0,2013.0,Medium,Life
EMG dataset in Lower Limb,"Multivariate, Time-Series",Other/Unknown,Real,132,5.0,2014.0,Medium,Computer
SUSY,,Classification,Real,5000000,18.0,2014.0,Extra Large,Physical
HIGGS,,Classification,Real,11000000,28.0,2014.0,Extra Large,Physical
Qualitative_Bankruptcy,Multivariate,Classification,,250,7.0,2014.0,Medium,Computer
LSVT Voice Rehabilitation,Multivariate,Classification,Real,126,309.0,2014.0,Medium,Life
Wilt,Multivariate,Classification,,4889,6.0,2014.0,Large,Life
Leaf,Multivariate,Classification,Real,340,16.0,2014.0,Medium,Computer
Dresses_Attribute_Sales,Text,Clustering,,501,13.0,2014.0,Medium,Computer
Tamilnadu Electricity Board Hourly Readings,Multivariate,Clustering,Real,45781,5.0,2013.0,Extra Large,Life
Airfoil Self-Noise,Multivariate,Regression,Real,1503,6.0,2014.0,Large,Physical
Wholesale customers,Multivariate,Clustering,Integer,440,8.0,2014.0,Medium,Business
Twitter Data set for Arabic Sentiment Analysis,Text,Classification,,2000,2.0,2014.0,Large,Social
Combined Cycle Power Plant,Multivariate,Regression,Real,9568,4.0,2014.0,Large,Computer
Urban Land Cover,Multivariate,Classification,,168,148.0,2014.0,Medium,Physical
Diabetes 130-US hospitals for years 1999-2008,Multivariate,Clustering,Integer,100000,55.0,2014.0,Extra Large,Life
